Lang,Text,Author,Location,Service
en,ross kempsell lord kempsell letchworth formerly guido fawkes definition nepotism corrupted journalism amp lord need reform noxious awful appointment hope thing brings house cad sorry card http co yquldsd n,iainoverton,Londoner,card
en,dcdc dcdc http co fz ccqnc regard team icici bank,ICICIBank_Care,"Mumbai, India",card
en,heard freecharge soon launch digital rupay credit card partnership axis bank anyone info let know cant give surety talking npci people always planning launch new card later drop plan ccgeek,AbhiChtrj,,card
en,venkatesh hi venkatesh nerella kindly share detail requested team serve better thanks regard tata aig general insurance co ltd,TATAAIGIndia,"Mumbai, India",insurance
en,got business card magnet car sign http co jeex gg za http co e ioyxjtf,TheHempLady2012,"Redding, CA",card
en,bhajanl hi bhajan highlighted concern team customer service representative connect shortly regard sbi general insurance,sbigeneral,"Mumbai, India",insurance
en,dear hdfc bank salary holder hdfc bank last month added still get single pre approval personal loan credit card last carrier journey axis bank got many good service experience hdfc bank bad service,Sarthak71917498,,card
en,month cloud implementation bharti axa done record sort insurance sector globally bhargav dasgupta q fy concall icici lombard insurance recommendation http co wpcbylknc,MadAboutStocks_,Bengaluru ,insurance
en,rt ravisutanjani rupay credit card live upi axis bank bank baroda canara bank hdfc bank icici bank indian bank ko,kedianikunj,Mumbai,card
en,bajaj finserv booked train ticket using emi card make trip loan closed want cancel ticket would refund go case,RohitRanvijay,India ,emi
en,cmd canara bank sir applying education loan vidya luxmi portal canara bank branch code kasya dose attend loan application today branch manager said application rejected kindly provide application rejected http co bic n z,r_mridul1,,loan
en,sharads hi sharad regret inconvenience caused please share email id contact detail via direct message dm team connect resolve concern promptly regard sbi general insurance http co nky ekx,sbigeneral,"Mumbai, India",insurance
en,icici bank worst banking system never take type loan icici bank show many advantage taking business done start killing financially must go psu bank may tough initial stage later easy,instruz3,"Delhi, India",loan
en,want close flipkart axis bank credit card immediately axisbanksupport axisbank flipkartsupport flipkart,dros090,,card
en,bajaj auto ltd pathetic service krishan auto mobile yamuna nagar haryana service center refused cashless claim insurance policy purchased time purchase bike staff misbehaved addressed complaint email corporatesales,navneetkc91,,insurance
en,rt jaypalsingh jai gaumata jai gopal jai nandishwar jai mahakal dear friend due grace mother cow today recei,wyAToJb5qpvBfA3,,insurance
en,rt stoute sa democratic alliance da president john steenhuisen allegedly took numerous loan bezos family foundation,limpoporocks,"Johannesburg, South Africa",loan
en,took day open saving bank account still struggling activate debit card bigger always better hdfc bank,vijayenviron, India,card
en,secure child dream pnb metlife genius plan childhood aspiration adulthood ambition got covered know visit http co qwx q hzp pnbmetlife milkarlifeaagebadhaein karobadesapnokitayyari geniusplan raisingachild childplanning http co qhjrbripiw,PNBMetlife1,,insurance
en,drprashantmish year go axis bank bajaj finance pre closure loan certainly understand difference service sbi psu bank private bank remember word sir,Hope_avijit,,loan
en,rt datta arvind many bank chasing jio finance launch co branded credit card surprised one launched n,KhonaPriyank,"Kerala, India",card
en,rt stoute sa listen democratic alliance da president john steenhuisen allegedly found loophole legal system use cap,HamperIncSA,,loan
en,shift turbo another tactic mine vote like roe student loan relief stuff zero intention mirrored end red,kellyfthompson,"Los Angeles, CA",loan
en,rt drprashantmish battle lost time forced car dealer want car loan sbi psu bank mo,DragnPurple,The Great Karp Temple,loan
en,rt icici direct financial service including hdfc bank icici bank kotak bank etc hold significant weightage nift,Vinothtwt,"Coimbatore, India",loan
en,bryandgriffin rondesantis caseydesantis foxandfriends desantiswarroom listen nonsense desantis causing decline florida impact beginning example property insurance rate risen since took office highest inflation rate nation right dismantled,becivilandkind,,insurance
en,popsaboutabit bought one last year losing half everything putting large deposit saving decent equity one good work late instead,00_gaz_00,,savings
en,rt karna ocw mass credit card cancellation axis bank,swan_credit,,card
en,bad service amazon icici bank mene th june ko cradit card ke liye apply kiya tha th june se assessing application credit card status pe hai bank se koi response nahi aa raha amazonin icicibank care icicibank http co mbwvapvbly,DhruViramgama,"Chikhli, India",card
en,wts lfb tbz boyz ph theb zone seoul encore tc trading card sangyeon jacob younghoon kevin haknyeon special http co hqflmyuhkb,juyothings,(+63) she her ✿ minor,card
en,thursday bad thing swinton car insurance quote go compare said would managed speak human swinton second hear knocked coffee distracted thinking entertainer max wall,_davidhansard,UK,insurance
en,hdfc bank credit card transaction showing discrepancy rupee showing transaction due amount impacted r le due,Avezkhn69Avez,"India, Muzaffarnagar",card
en,steam trading card marketplace funny went whoa big payday got four cent feel like freelancer,jan_Awija,,card
en,buying insurance cannot change life prevents lifestyle changed jack http co uuylbpkpv,LaserInsureKE,"CPF House, Haile Selasie Ave",insurance
en,rt drprashantmish battle lost time forced car dealer want car loan sbi psu bank mo,xsjlili2,"Jhansi, India",loan
en,rt prasadpillai abslmf dear aditya birla team trying get health insurance renewed since rd jul till,PrasadPillai74,,insurance
en,canarabank syndicatebank bring kind notice vehicle loan canara bank barabanki u p branch submitted salaried account cancle cheque emi get auto deducted updated getting panalty help,iamamitp,Lucknow,loan
en,bajaj finserv bajaj finserv harassment family customer emi payment absence,PremNat52346986,"Bhopal, India",emi
en,hi apologize behalf hdfc bank care sorry concern please reach u personal loan issue helpline issue inconvenience caused assist better thanks http co wlgnan rmp,hdfc_bank15458,,loan
en,rt chitaglorya rd idr hour rt amp follow zoidswild tweet text get guaranted free zwa nft car,Jaemxing_,"Kudus, Indonesia",card
en,rt courtne leaflet promoting national insurance act http co x ffhnvlgp,PSO60709,Nor-California in the wild,insurance
en,requested lod fc loan given loan giving loan reduced interest rate taken loan bank getting lod fc bajaj able close pay emi bank sanjivrbajaj bajajfinserv,SudhirP95652345,,loan
en,whyskeptic regret inconvenience caused father debit card related information available link http co egw joqzsq case staff member misbehaved please advise customer register complaint calling contact center toll,TheOfficialSBI,,card
en,asylum seeker killed aspiring model head motorway smash driving wrong way along carriageway zimbabewan wilfred museka also accused driving insurance rebecca caine leaf behind twin brother younger sister life shattered http co uexn wc,ActivePatriotUK,"Grimsby, England",insurance
en,kotak hello sir name sumit ganesh got credit card bank guy cheated telling charge taking card interest card increasing please ex one request close card soon possible kotak mahindra bank thank,sumeet_mor70419,,card
en,prabirbiswal pnbindia financial discipline bhubaneswar th december pnb bank oriental bank commerce classified account npa th april even afterclassification asset npa deposited r loan account till date auction,PrabirK41333488,"Orissa, India",loan
en,rt karna ocw mass credit card cancellation axis bank,kaksbhatt,"Mumbai, India",card
en,secure belonging storm protection reliance householder package policy visit u http co l fbkhmq reliancegeneralinsurance tech livesmart monsooncare rainyprotection http co ztcgvjp xx,RelianceGenIn,,insurance
en,rt vimleshrajbansi capitecbanksa loan statement domestic helper loan amount r initiation fee p,To0EeZy,,loan
en,rt bajaj finance bajaj finance savdhaanraheinsaferahein beware fraudsters use fakeads loan know step prevent,AneesBa79336106,,loan
en,punjab national bank another prominent indian bank also contributed significantly loan write offs amount totaling crore approximately billion past five year scale issue cannot ignored longer pnb,manojnayak,"Mumbai, India",loan
en,icicibank person took loan icici bank father mother neighbor use privacy policy collection policy,KRISH33141480,"Cochin, India",loan
en,crazyclipsonly insurance,AniQuadros,,insurance
en,american express actually amongst best starter card canada apparently even though amex typically associated rich people hopefully get approved want credit card build credit score,devinchaboyer,"Thompson, Manitoba",card
en,machinery loan help capitalize business important asset click read http co fhrvf tjtc bajajfinserv bajajfinance,Bajaj_Finserv,India,loan
en,american express gold card v capital one venture reward credit card cnet http co er lurdg v,DavidPapp,Canada,card
en,rt metalrulestv check vintage american express credit card international exploration travel offer http co p dhgpqnbm ebay,WilliamJGraham,United States,card
en,gontiprashanth dear prashanth would like evaluate case help best possible solution request dm mobile number e mail id u analyse update earliest regard tata aig general insurance co ltd http co jq ekbwpa,TATAAIGIndia,"Mumbai, India",insurance
en,gxs bank maribank singapore two digital full bank opening saving account public customer able deposit maximum per account,BanksDaily,,savings
en,idfcfirstbank myindusindbank bajaj finserv please stop calling personal loan credit card financial product rbi request pls take action kind selling,Parry1986Shah,,loan
en,rt unionbanktweets unlock possibility purchase plot loan build dream home know http co wzwc h apply,AlaxanderRom,,loan
en,saurabh kailasunni iqooind amazonin think icici debit credit card sbi card issue debit card per screenshot say sbi card bank clarified also dark storm color sober orange flashy personal taste,vicksj,,card
en,iamshivagadde hi shiva regret inconvenience caused please share email id contact detail via direct message dm team connect resolve concern promptly regard sbi general insurance http co nky ekx,sbigeneral,"Mumbai, India",insurance
en,rebelloraul existing customer mahindra finance reapply loan rd july waiting mahindra finance kolkata branch swing,KumarRahul84263,"Kolkata, India",loan
en,axisbanksupport dear axis bank ur dm accessible need close loan credit card please assist process,DrShaheedS,"Dubai, United Arab Emirates",loan
en,rt radicaladem bank lending yoy across consumer private debt fading quickly amid bank tightening loan demand fading meanwhile b,SpeculatorsAnon,,savings
en,tedbradon yes cameroon american pastor great blessing one trying follow far nothing yet hospital also want cuz insurance american embassy refused sister visa go get cameroon embassy refused,Gayelle10,I have no idea.,insurance
en,rt irokusui current colorfes card far card came duo honashiho haruairi mizuena etc http,Moon41335283,,card
en,reported car insurance claim th july response bajajallianzlic bajaj finserv pathetic service able move car office commute licindiaforever claim number oc,CAPankajkumar21,"New Delhi, India",insurance
en,various stakeholder client shared insight green bond sustainability loan green structure way align corporate policy allow business strike right balance profitability sustainability http co hrmtxjravh,FNB_Botswana,Botswana,loan
en,payal trustable form loan closure also sbi experience process far better hsbc jaisa bank gave lot pain new generation banker good psu bank,guru30989,,loan
en,till received update regarding loan application icici bank icicibank icicibank care,inder9690,,loan
en,tatacapital tatacapitalcare rbi trai airtel presence airtelindia tatacapital tatacapitalcare rbi hdfc bank bajaj finserv icicibank make note approach loan product service almost daily call executive agent loan credit card waste time energy loan creditcard,AmolDaas,"Cranberry, PA",loan
en,rt drprashantmish battle lost time forced car dealer want car loan sbi psu bank mo,wucream1,mid sussex,loan
en,upcyberpolice myogioffice pmoindia today called canarabank customer service mentioned google customer executive directed fill form took debit card detail upi detail sweep r lac c hdfc bank c please help,10may_tiwari,India,card
en,vimleshrajbansi capitecbanksa disgusting unfortunately perfectly legal nca allows per month maximum interest rate short term loan exactly amount capitec charged shameful extortion poorest society,Skaapchop,,loan
en,rt dealbeeofficial audible subscription need credit card kotak icici citi bank debit card payment best thing ici,DealBeeOfficial,India,card
en,rt josephonuorah moron bigot apc believe never regional war emi lokan tribal war igbo take,eshe_oluwa2,,emi
en,rt moneyacademyke equity bank amex credit card equity bank american express green card feature global day interest free travel,iArafatHussein,"Nairobi,Kenya",card
en,shreyastgm see credit card option airtel thanks app unfortunately unable offer service yet approval subject axis bank internal review appreciate understanding thanks satyajeet http co g qpk kp,Airtel_Presence,India,card
en,hdfc bank millennium credit card debit card,Aspira15Banking,"Gorakhpur, India",card
en,abay insurance c peace mind http co ty hjo osf,AbayinsuranceSC,"Addis Ababa, Ethiopia",insurance
en,reliance general insurance get r cr capital infusion reliance capital http co nqfprkzb via economictimes,anish_nanda,"Mumbai, India",insurance
en,jubilee life insurance company engaged dubious business practically defrauding client completed year tabeer plan yearly premium r k total payment r k paying paltry sum r profit unjust,shaider_1,,insurance
en,need loan urgently payday loan amp cash advance fast amp online need approved online emergency payday loan gt gt http co nnh bxh themarvels nigeria gillie criticalrolespoilers barbie kodak lovelikethis hulk http co exmscsfylp,topsell,USA,loan
en,icicilombard icici lombard insurance healthcare update request despite complaining multiple time resolution yet recommend anyone pathethic service complaint id,AnilMaurya1987,India,insurance
en,turbo beef single spacer jimmuessig kylegriffin lot student loan debt bunch wall street bros crashed economy sweet http co kxkmafn mz,nalarn1,,loan
en,rt moneycontrolcom many insurance company including bajajallianz adityabirlasun life insurance hdfclifeinsurance alo,nddhanecha,Mumbai,insurance
en,miss free loot amazon get month audible subscription link http co gq v jdzdz month month cancel anytime audible subscription need credit card kotak icici citi bank debit card payment http co rw fqzu z,bangmykart,India,card
en,theofficialsbi pmsp paramilitary account account holder took personal loan month june loan deposited full payment sbi bank employee asking loan charge close loan sbi bank bundi raj sbin solv,lokeshp47127511,"Badarpur, New Delhi",loan
en,tataaigmotor jagograhakjago ncb updated tata aig portal searching insurance provider still showing seems forcing buy please fix asap renewal couple day,jackbankhandi,Bangalore,insurance
en,rt shuragorilla good night x oppailov r sluthentaicream ecchiimperio himarinlink waifukiwi hentaigod xx nicocha hia offi,ParasitoMaldito,México ,emi
en,rt stoute sa listen democratic alliance da president john steenhuisen allegedly found loophole legal system use cap,Big_Softii,South Africa,loan
en,itstarh sanjivrbajaj bajaj finserv sanjivrbajaj forget ok go loan aise bolke hawa toh maar di saab ne firm forgetting anyone muje b bhul jao bhai,happywithaN,Earth,loan
en,blockbuster tv day last day avail deal tv kotak mahindra bank instant discount r credit debit card amp emi transaction hdfc bank r instant discount credit debit card emi transaction http co fybs kjk manipur http co svgqodo hl,ColllgeH73616,,card
en,credofly flipkart axis bank credit card xx cancelled cashback earned revoked due commercial use kindly pay outstanding due date refer amp c http co nsreis red axis bank got cancelled,woketivist,"Antilia, Mumbai",card
en,degenspartan country insurance contract version k except cant max set limit anyways tax benefit hit payout dont freedom ape individ stock wait til retirement tax benefit,Pudelstrudel,,insurance
en,rt ni pantawane bigbrandmanager pnbindia nsitharamanoffc pmoindia consistently visiting bank branch pnb mankapur nagpur,BigBrandManager,"Nagpur, India",loan
en,byjus fake team recently purchased course child rupee full cash paid bajaj emi enrolled one responding course still started cancellation happening urstrulymahesh iamsrk byjussupport byjus byjuraveendran,ravikumarn46947,,emi
en,niva bupa niva bupa finally rejected claim surprise know someone fraud least expected bupa need look alliance partner treating cheating customer bupa please read customer feedback http co thls bjzdp http co bn mjgmg,ashishgokhale29,,insurance
en,mo ghara loan amount r lakh sanctioned smt lata da village nuagan b gangadharpur gp block dharmasala sanction order handed benificiary presence concerned bm uco bank bdo dharmasala http co pjmkcsyovi,drdajajpur,,loan
en,sbicard connect theofficialsbi rbi dear sbi team really helping customer already paid due visited sbi bank branch deactivate credit card received outstanding marked npa message whatsapp please get clear,Sourabh17204260,,card
en,holding icici bank saving account since year also credit card relationship request many time icici instant paltinum credit ltf via customer care applying card want additional card limit icicibank icicibank care,Ajaypatel2164,,card
en,quarterly result earnings q fy q fy nse bse reliance industry hdfc life insurance company jsw steel ultratech cement ashok leyland vedanta one communication aarti drug cm info system http co ezehuhs kx,Flattradein,India,insurance
en,analysis pick today card based timewise ranking race time order http co eb ubuotnv,pjocathain,Ireland,card
en,rt tcgdlcz minting collaboration hero card technomonkee well attack card dlcztcg game public rele,kademisport,Беларусь,card
en,manish garg theofficialsbi rbi rbisays hi thanks reaching u request please share email id contact detail via direct message dm connect address query regard sbi general insurance,sbigeneral,"Mumbai, India",insurance
en,last week administration began notifying borrower total billion federal student loan repayment year debt discharged coming week step forward even close done http co o dqc b,POTUS,,loan
en,bajaj finserv bajajallianz unsatisfied customer service process bajaj allianz giving sale agent pursue call every minute get sale done sale service worse ticket number running vehicle without insurance,sajalag64405974,"मुरादाबाद, भारत",insurance
en,giving excuse last month due able get loan another bank harassed mentally pnb please intervene rbi pmoindia ashok,TheIntrovertSo1,,loan
en,hi join start earning money sofi checking saving earn apy pay account fee use link sign get bonus set direct deposit http co aqcbfox rb,ARC_MCA,"Freeport, IL",savings
en,rt icici direct financial service including hdfc bank icici bank kotak bank etc hold significant weightage nift,MDKHURS79780491,,loan
en,rt rajivmehta reason given hdfc declining accidental claim always check term policy condition blindly buying,RpsUtd,,insurance
en,bajaj finserv sanjivrbajaj dear sir submitted emi time time yet received ec return charge please check frustrating,trilokisharma88,,emi
en,mayank verma hi mayank would like help please share policy number email id contact number via dm help u connect share update caringly team bajaj allianz general insurance http co gtfnqpqorp,BajajAllianz,Pune,insurance
en,highly buying pressure stock polycab india ltd aurobindo pharma limited icici lombard general insurance company ltd mphasis limited tata consumer product ltd ashok leyland limited,Vinoth_Kumar369,"Chennai, India",insurance
en,bank data leak real happening sbi credit card two fraudulent transaction bank immediately blocked card reissued new one never shared detail credit card anyone shopped secured payment gateway e commerce website,NaveedQazi,Kashmir,card
en,rt idbi bank built way success idbi bank learn education loan start journey today detail visit http,DravidArya1608,,loan
en,rt datta arvind many bank chasing jio finance launch co branded credit card surprised one launched n,ChaitanyaD2020,"Bengaluru, India",card
en,rt bajaj finance bajaj finance savdhaanraheinsaferahein beware fraudsters use fakeads loan know step prevent,Cerel_Killer_69,,loan
en,drprashantmish last year taken car loan canara icici pnb previously obc one stood sanction union bank sanctioned flat hr single set document also reason gave repeat business last month,hasmit2k,,loan
en,got message th july icici bank atm debit card delivered speed post july amp received customer consignee atm debit card received family member indiapostoffice icicibank icicibank care,swarupsdas,kolkata,card
en,bajaj finance sent customer care number go give direct line number please trap people make take forced loan quick reply appreciated,jasoneths,"Hyderabad, India",loan
en,abcapital accepting amex credit card payment premium aditya birla sun life insurance company limited,OnlineKoushik,"Noida, India",insurance
en,sharadgoklani theofficialsbi sbilife irdaindia dugalira monikahalan hard believe someone sbi would unethical thing smartphone directly least theofficialsbi investigate whether staff insurance marketing affiliate take strict action abuse customer trust,Gotya101,Qatar,insurance
en,beckystlouis single spacer jimmuessig kylegriffin totally different discussion grossly abused doubt forgivable loan made haste global pandemic keep economy afloat way different voluntary student loan elective education clear rule debt repayment,turbo_beef,"Michigan, USA",loan
en,icicibank care icicibank rbi narendramodi rashtrapatibhvn sharekhan nsitharaman hdfc bank hsbc myindusindbank bankofindia icici icici customer care person called three time loan related requirement first call informed button got triggered wrongly cause facing imobile app exp even received call two time manage work mieknathshinde,simba8729,,loan
en,theofficialsbi sbi barakar branch west bengal inefficient able even change mobile number sell product elderly customer without approval mother got insurance money debited account never approved,rahul_consult,,insurance
en,rt pa gethelp keystonescholars make sure every baby born pennsylvania start common ground starter deposit,PATreasurer,"Harrisburg, PA",savings
en,gontiprashanth hi prashanth gonti kindly share detail requested team serve better thanks regard tata aig general insurance co ltd,TATAAIGIndia,"Mumbai, India",insurance
en,hdfcbank care hdfc bank applied credit card tell hdfc bank employee okay k limit hdfc bank employee deepak said get k starting limit get k limit credit card hdfc hdfdfraud,vinodkumar619v,"Hyderabad, India",card
en,term insurance wastage money naharkatia lic branch wow,call_me_vroom,"Duliajan, Assam",insurance
en,rt icici direct financial service including hdfc bank icici bank kotak bank etc hold significant weightage nift,rummysagoo,"kolkata, India",loan
en,detail payment loan account number coio paid heroficorp account axis bank bearing account number may th paid remaining incl fc int fc charge,Yeahalrighty23,,loan
en,mskjoshi hi confirm query related sbi debit card sbi credit card handle query related sbi credit card sbi debit card bank related query please connect theofficialsbi visit http co mcnedpaxt,SBICard_Connect,India,card
en,rt ravisutanjani rupay credit card live upi axis bank bank baroda canara bank hdfc bank icici bank indian bank ko,itspratiksahu,Amchi Mumbai,card
